CaseOrder,Population,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Port_modem_Yes,Tablet_Yes,Phone_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,PaperlessBilling_Yes,Contract_One_Year,Contract_Two_Year,InternetService_Fiber_Optic,InternetService_None,PaymentMethod_CC,PaymentMethod_ECheck,PaymentMethod_MCheck
28,5652,14.73616645,12,0,0,1.392421597,139.981577,419.0508708,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0
29,1716,13.43558029,13,2,0,1.430386349,200.132293,1259.415493,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
30,52484,10.61771118,18,1,0,5.425864884,257.651257,1745.125956,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0
31,11268,6.613070806,14,0,0,11.08287797,230.105118,1795.465729,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
32,1765,4.450171647,13,2,0,3.586184954,147.489301,492.4771472,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
33,680,8.774646693,9,0,0,4.727388465,230.105118,1013.993166,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0
34,136,11.13156721,8,1,1,20.89923386,174.958118,2680.762173,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
35,1517,5.540788887,15,1,0,3.471329958,267.664655,1081.814362,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1
36,14103,13.80362698,11,0,1,5.478588204,162.483267,1209.961168,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
37,6394,16.31017089,16,1,1,3.312991809,229.993134,897.5919144,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0
38,5059,9.447065309,9,2,0,7.161561527,140.00128,1340.930156,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0
39,20450,16.84100845,12,1,0,9.847563364,184.964681,1113.993679,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0
40,2123,7.972937227,10,1,1,16.04202196,147.473844,1530.10769,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0
41,1164,11.42906608,12,1,0,9.179779682,172.457857,1310.137419,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
42,23,8.06137096,16,2,0,3.002844144,107.481989,892.8964931,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
43,895,12.54780492,11,1,2,3.924254455,255.141716,1125.581944,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0
44,6699,8.255565152,13,0,0,18.55959629,192.456745,2016.710031,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
45,35743,13.156514,6,0,0,8.798394712,242.632554,1412.736809,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0
46,320,10.58349704,5,1,0,10.377366,245.174977,1710.689671,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
47,7870,12.50184778,11,1,0,22.25746016,184.964681,2384.885909,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0
48,861,9.750038902,11,1,0,9.427146079,195.006206,1213.940165,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0
49,15364,7.868660851,11,2,2,7.760290062,104.962874,740.010722,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
50,2589,12.43563329,14,0,1,11.56938439,92.488023,897.9716153,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0
51,4901,8.957166926,13,3,0,3.343811019,184.979684,1026.387172,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
52,39649,8.015021713,12,1,0,7.338869531,187.656013,1234.244324,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
53,456,4.210347704,8,0,0,5.486534225,149.962093,727.3731845,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
54,94,11.13960534,6,0,0,1.55278221,169.944668,452.8721504,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
55,315,9.03738856,11,2,0,12.07970325,160.00128,1296.674543,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
56,4969,10.91594785,11,1,1,13.98666226,129.962093,1840.628269,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
57,46869,8.387624096,11,0,1,9.563362997,114.950905,1324.330108,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
58,58431,11.4487514,11,0,1,6.732948946,142.515576,958.1397059,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1
59,26182,10.22013704,15,2,0,15.72071086,220.14775,1868.864027,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0
60,694,8.425458142,9,1,0,7.233605493,124.97808,676.712908,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
61,3093,8.386280619,12,1,0,2.871017037,164.964681,1086.990308,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1
62,2765,9.565924291,10,3,0,2.344875382,194.976769,704.7540406,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
63,3757,10.79349982,14,3,0,7.960490246,152.455519,1416.444695,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
64,4938,6.081975067,15,0,0,12.25062113,92.5018,1095.950634,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
65,3761,13.55065547,13,0,0,9.634946079,127.488728,1083.610268,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
66,1851,9.470419821,14,1,0,7.916533093,184.963371,1570.641337,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
67,38476,6.194985909,11,0,1,4.471254161,265.146969,1007.425553,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
68,13547,10.80393657,19,1,0,10.79028074,207.609354,1323.028419,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
69,7801,7.903964267,17,0,1,12.24190682,152.462354,1808.730555,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
70,17823,11.27443693,18,2,1,2.203859443,200.132293,1120.241472,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
71,20269,6.129509309,12,0,0,23.92132231,212.655686,2676.789803,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0
72,30225,7.969277912,17,0,0,3.7311787,255.119794,1268.086909,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
73,5760,4.368120492,9,0,0,7.980015371,134.950905,822.6771666,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0
74,61,6.258356398,9,0,1,9.190009376,255.137219,1577.915603,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0
75,34359,12.92303286,16,0,0,2.378630018,214.966286,648.7471776,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
76,24693,12.43301273,13,0,0,5.43464555,270.160419,1648.102673,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
77,4235,7.607663559,11,0,0,1.092361222,200.165175,768.0874545,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0
78,2193,7.442789019,10,2,1,20.13981517,149.937833,2426.030626,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
79,273,13.04429298,18,1,0,24.64873861,240.114868,2660.503932,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
80,14557,14.89762162,17,0,0,9.677739656,127.495766,1129.549713,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
81,17653,13.79387475,13,2,1,9.82814183,187.609354,1771.286466,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
82,285,15.66367593,6,1,0,7.832238337,169.992756,943.3391244,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
83,320,8.513410306,13,3,0,19.45250317,192.456745,1907.226083,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1
84,2863,8.265002035,10,1,0,14.34766616,120.004928,1885.939118,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
85,1206,8.6026551,11,0,0,2.257358355,195.006206,631.7435653,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
86,35279,6.03993035,15,1,0,2.358129018,139.95684,562.6095219,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0
87,1049,14.6040829,12,3,0,4.650578623,114.983787,593.8572264,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0
88,32203,7.274007029,13,1,1,3.721772616,207.638588,777.3060718,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
89,25576,8.913898759,12,4,0,3.76663012,187.609354,1393.202392,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
90,319,11.59313893,13,0,2,4.151256695,134.950905,393.6524652,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0
91,55519,8.294186076,13,0,0,2.188918771,192.470522,409.7486664,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
92,15210,15.19664016,9,1,0,13.85488928,222.628057,2138.107161,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
93,3499,5.083995994,3,1,0,3.273341151,162.468917,443.984031,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0
94,14479,6.942719201,7,1,1,19.75096265,159.979358,2481.385603,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
95,4654,9.834012571,7,1,0,18.38404445,184.979684,2233.567181,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1
96,26320,11.0596826,13,0,0,4.672610857,245.145743,1158.91369,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
97,35,8.834079073,17,0,1,6.796299371,124.97808,529.40733,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
98,521,5.271228601,14,1,1,12.97632235,187.484705,1956.7337,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
99,17600,9.394961367,15,1,0,20.31163945,162.500692,2056.386979,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1
100,3324,14.4754365,11,1,1,6.998814446,182.467607,1067.373076,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0
101,55122,10.68311773,12,1,1,14.46288204,222.660939,1806.135733,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0
102,4038,13.79409442,10,1,0,11.13472066,182.467607,1397.701335,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
103,31927,12.40165307,19,1,0,2.542296644,220.161527,808.4305471,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1
104,19904,10.24782033,9,1,0,17.22596021,169.937833,1886.531937,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0
105,13000,14.86100819,16,0,2,22.79214163,204.963371,2294.781131,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
106,1444,6.716953195,10,2,1,3.823689744,204.963371,826.3438621,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
107,2158,8.124258176,18,1,0,10.77094687,245.128318,2072.564168,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
108,1800,14.60903837,11,0,2,13.08671185,172.473314,1436.793746,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0
109,30,12.65015936,9,2,2,14.76468813,172.456745,1963.332683,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,3682,12.0281501,14,0,0,9.473091121,194.976769,1324.164906,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
111,41733,15.68043093,16,1,0,5.197446331,137.439154,704.9375603,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
112,630,11.30421466,18,3,1,6.577552683,192.470522,888.6517305,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0
113,15383,10.26646787,10,1,0,3.174571918,159.951231,377.0810282,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
114,257,7.56618217,9,0,0,17.88002366,112.455141,1606.489936,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
115,1012,10.40677369,14,2,0,13.12190056,174.961766,1431.409396,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1
116,20327,7.146124361,13,3,0,23.34617699,162.452604,2253.85247,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
117,69,9.807530479,10,1,0,6.311709178,137.483594,1353.29384,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
118,1130,10.61217014,12,3,0,12.58298231,275.133571,1701.457566,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0
119,4210,5.785085772,16,1,1,7.120096363,127.442069,1290.737183,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
120,155,9.062879297,11,2,0,9.344886869,210.138,1403.270091,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
121,37711,16.54443477,13,1,0,22.37815032,147.456419,2603.903672,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
122,1800,4.539566699,8,2,0,4.799514433,242.657291,1256.287854,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0
123,8028,7.251198724,14,2,0,10.04672315,114.983787,980.9935923,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1
124,31859,8.943293567,15,2,1,8.156552837,187.656013,1347.869205,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
125,16101,12.57884215,9,3,1,7.992791229,149.991327,1127.267848,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0
126,20449,11.64836306,11,0,1,7.231032028,124.960655,1269.836202,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
127,161,6.076260652,13,0,0,4.627672042,220.161527,1038.745378,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0
128,29210,11.75681641,9,0,0,10.05306287,172.48852,1531.155367,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
129,821,9.173739977,14,0,1,4.171044392,120.004928,991.2441024,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0
130,5846,8.353693631,11,4,0,4.568682641,220.161527,1244.296865,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
131,4476,10.74539526,10,0,1,6.085030507,139.965008,1162.332926,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
132,5529,11.36323648,12,1,1,2.730250735,159.951231,577.1157824,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
133,25328,2.310584634,14,1,0,8.574901206,184.949594,1442.974877,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
134,3736,5.290318715,10,0,0,9.743201772,252.637807,1577.208717,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
135,610,5.258274954,8,1,0,9.482919033,112.455141,886.9398744,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
136,34,7.157580014,12,0,0,8.447988841,179.979358,1065.06443,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0
137,3199,2.120350511,17,0,0,6.365998533,202.443347,951.886985,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0
138,1135,4.978546291,12,2,0,7.251397592,197.472533,1404.435534,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
139,1750,6.547676875,10,3,1,14.64011644,255.155493,1925.911722,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1
140,1076,7.410590719,9,0,1,11.71637124,174.976769,1805.011298,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
141,1692,11.39765385,8,1,1,4.13273503,169.992756,700.7343179,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0
142,43123,11.29945603,14,1,0,2.887429547,192.440432,513.237305,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
143,2396,11.30748265,15,0,2,3.303030246,182.460772,717.3876564,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
144,12914,10.31551212,11,2,1,5.15825129,139.965008,1313.492851,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
145,15171,13.71555406,14,1,0,3.237560234,137.461553,819.4195269,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
146,5157,15.40917963,15,2,0,2.733109234,217.472533,882.1160656,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
147,828,11.9664542,17,1,0,3.180102025,210.138,724.7803356,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1
148,98,10.18046877,10,2,0,15.85983755,104.964303,1829.270014,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
149,15671,14.01485542,16,1,1,11.73724209,262.610632,1668.199119,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
150,2229,14.62784306,17,2,0,7.006240694,152.488401,1124.353152,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0
151,4982,10.90517581,10,2,0,5.562130367,174.974431,1316.239744,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
152,18575,8.894475174,8,0,1,14.53027663,220.118516,1637.201426,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0
153,15715,10.50187888,13,0,0,5.905906389,162.452604,951.8524406,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
154,6252,12.34250072,12,2,1,3.260462654,184.961033,1248.097652,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
155,3834,10.29380879,12,3,0,18.91276578,217.483972,2220.255405,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0
156,19556,8.512650562,11,2,1,14.25617986,220.118516,1669.202417,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1
157,47732,7.82671592,13,1,2,7.983887266,187.642236,990.0555076,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
158,86926,6.985590245,9,2,1,5.969967132,174.961766,967.9819136,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0
159,69,11.40449185,12,0,0,19.95277818,252.637807,2190.259876,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
160,15033,10.44249511,13,1,0,14.85781115,130.024412,1445.752781,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0
161,2673,15.38627887,12,2,0,2.600063739,162.482694,528.6553088,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
162,1879,10.68024546,13,2,1,11.92299244,182.467607,1296.481055,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
163,358,10.62439366,13,0,0,5.972864167,139.934918,1195.393037,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
164,32653,10.91642397,13,1,0,10.87555535,200.165175,1700.121992,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1
165,10398,8.580626195,14,0,0,16.00330155,202.682861,2120.673828,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1
166,2081,8.996933306,11,0,1,12.63074989,159.951231,1238.421347,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
167,3410,7.602570192,7,2,0,8.4944392,149.948316,847.110799,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
168,377,9.217689334,12,1,1,8.044444101,149.959755,1112.937102,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0
169,1917,9.591529444,14,0,1,12.07358377,137.469817,1623.045026,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
170,2482,13.36027908,12,0,0,10.21634248,187.656013,1479.730181,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
171,902,4.372034777,7,1,0,15.50354683,164.985293,2144.735024,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
172,43714,10.59285179,11,0,3,13.88004531,159.965008,1522.289512,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
173,3066,12.81260566,10,1,0,19.48900163,172.462354,1974.780054,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0
174,13365,3.767298987,11,0,0,10.01771765,204.949594,1261.177198,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
175,207,17.56798903,14,2,0,7.34059599,147.473844,939.7181324,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
176,689,11.2369761,11,3,2,12.64742067,162.471255,1357.062854,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
177,99,8.54892416,15,0,1,8.850426839,119.95684,1456.887443,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
178,509,6.094109902,11,2,0,3.701557118,207.609354,937.5863866,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
179,933,13.9077275,14,1,0,2.976033785,194.999168,830.1193011,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1
180,4991,7.905333122,14,1,0,5.522376826,174.975543,737.8564608,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
181,1579,12.53830949,9,2,1,15.64596698,240.114868,1781.854862,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
182,19669,12.8219418,12,1,1,23.00764441,240.114868,2464.577489,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
183,530,8.941553742,10,0,0,17.24924155,139.983006,2392.203409,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1
184,1469,10.51043963,12,0,0,13.01107597,240.114868,1664.19271,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
185,324,11.86384439,11,3,0,5.104082209,209.993134,1433.616898,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
186,10482,10.76051016,10,3,0,3.521499924,147.456419,823.4933243,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
187,3151,11.05420024,14,0,0,8.08137067,107.495766,1468.357421,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
188,1919,8.174495258,8,5,0,1.875430489,152.502178,590.7765801,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0
189,241,10.05388383,12,2,0,5.587484456,79.978861,418.6206885,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
190,673,7.045552801,13,2,0,7.007695148,142.482694,1181.991846,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1
191,2649,8.957297136,14,1,0,1.408375942,117.439154,733.4036934,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
192,1655,15.74015572,14,2,1,11.64983735,220.132293,1719.173387,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
193,1598,13.41209586,11,3,0,2.964559883,152.455519,1205.956363,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0
194,6658,14.89835355,9,2,1,10.25635754,174.961766,1261.032763,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0
195,823,13.62135046,14,1,1,3.892407013,202.443347,741.7766988,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
196,13287,14.95912113,12,2,1,3.226996711,210.12704,932.6084359,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
197,2394,11.741245,9,0,0,15.87685513,139.979239,1708.614019,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0
198,9295,7.765121655,11,0,1,5.874064017,139.965008,1363.58603,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
199,315,7.130431693,5,1,0,3.756359276,137.439154,472.1057019,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
200,2998,8.359515606,13,1,0,2.905283283,102.474625,558.2340556,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
201,178,9.42799205,17,3,0,1.474810061,252.637807,815.194738,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
202,1423,10.95510131,11,0,1,18.56165869,194.999168,2007.303617,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0
203,1935,10.8621377,16,1,0,12.39088509,242.610632,2088.48083,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
204,90517,7.352533505,15,2,0,14.17192333,127.458638,1430.761492,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
205,239,11.38860234,14,1,0,3.86023041,129.976324,822.3008694,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
206,1003,9.580144161,13,4,0,17.72593456,240.114868,2059.200998,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
207,2817,10.79191234,18,1,0,3.043063167,174.975543,617.542543,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
208,884,9.982341124,8,0,0,5.827112819,169.944668,758.4775985,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
209,11245,6.511921085,12,0,1,4.648958177,162.511928,894.6733856,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
210,19215,10.70500472,14,1,0,11.96274778,119.95684,1639.898269,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
211,2733,11.58410296,11,0,1,4.525864256,137.439154,710.7541633,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
212,1204,8.01651453,12,1,1,8.038308899,207.46728,1092.226042,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0
